file, segment, start, end, dur, filedur, mean_intensity
NAT_engl310_24_10,in,0.003,0.502,0.499,7.410,45.080,
NAT_engl310_24_10,o,0.502,0.527,0.025,7.410,56.440,
NAT_engl310_24_10,sil,0.527,0.632,0.104,7.410,38.242,
NAT_engl310_24_10,np,0.632,1.132,0.500,7.410,70.258,
NAT_engl310_24_10,uh,1.132,1.493,0.362,7.410,73.624,
NAT_engl310_24_10,sil,1.493,1.587,0.094,7.410,46.238,
NAT_engl310_24_10,np,1.587,2.176,0.589,7.410,73.370,
NAT_engl310_24_10,sil,2.176,3.055,0.879,7.410,37.211,
NAT_engl310_24_10,np,3.055,3.423,0.368,7.410,71.402,
NAT_engl310_24_10,sil,3.423,3.468,0.045,7.410,46.981,
NAT_engl310_24_10,np,3.468,4.664,1.196,7.410,72.074,
NAT_engl310_24_10,sil,4.664,4.840,0.176,7.410,42.947,
NAT_engl310_24_10,in,4.840,5.155,0.315,7.410,45.421,
NAT_engl310_24_10,sil,5.155,5.224,0.069,7.410,39.366,
NAT_engl310_24_10,uh,5.224,5.427,0.203,7.410,71.372,
NAT_engl310_24_10,np,5.427,6.489,1.062,7.410,68.621,
NAT_engl310_24_10,sil,6.489,6.610,0.121,7.410,40.438,
NAT_engl310_24_10,o,6.610,6.907,0.297,7.410,68.891,
NAT_engl310_24_10,sil,6.907,7.090,0.183,7.410,42.893,
NAT_engl310_24_10,in,7.090,7.406,0.317,7.410,47.754,
NAT_engl310_24_10,sil,7.406,7.410,0.004,7.410,39.476,
PINTs_engl310_01_234_v1,in,0,0.227,0.227,11.610,39.911,
PINTs_engl310_01_234_v1,np,0.227,0.812,0.584,11.610,82.273,
PINTs_engl310_01_234_v1,uh,0.812,1.125,0.314,11.610,77.896,
PINTs_engl310_01_234_v1,uh,1.125,1.495,0.370,11.610,80.940,
PINTs_engl310_01_234_v1,np,1.495,4.852,3.357,11.610,81.899,
PINTs_engl310_01_234_v1,in,4.852,5.076,0.224,11.610,47.777,
PINTs_engl310_01_234_v1,uh,5.076,5.437,0.361,11.610,81.763,
PINTs_engl310_01_234_v1,np,5.437,7.320,1.883,11.610,80.803,
PINTs_engl310_01_234_v1,ex,7.320,7.511,0.191,11.610,39.675,
PINTs_engl310_01_234_v1,sil,7.511,7.633,0.122,11.610,31.906,
PINTs_engl310_01_234_v1,in,7.633,8.015,0.382,11.610,54.374,
PINTs_engl310_01_234_v1,uh,8.015,8.239,0.224,11.610,81.218,
PINTs_engl310_01_234_v1,np,8.239,10.238,1.999,11.610,82.849,
PINTs_engl310_01_234_v1,sil,10.238,10.339,0.100,11.610,34.738,
PINTs_engl310_01_234_v1,in,10.339,10.690,0.351,11.610,51.717,
PINTs_engl310_01_234_v1,uh,10.690,11.038,0.348,11.610,80.958,
PINTs_engl310_01_234_v1,np,11.038,11.610,0.572,11.610,81.137,
PINTs_engl310_01_236_v1,np,0,0.027,0.027,7.930,45.749,
PINTs_engl310_01_236_v1,in,0.027,0.272,0.244,7.930,51.735,
PINTs_engl310_01_236_v1,uh,0.272,0.682,0.410,7.930,81.623,
PINTs_engl310_01_236_v1,sil,0.682,0.832,0.150,7.930,39.628,
PINTs_engl310_01_236_v1,np,0.832,1.900,1.068,7.930,83.655,
PINTs_engl310_01_236_v1,sil,1.900,2.020,0.119,7.930,34.073,
PINTs_engl310_01_236_v1,np,2.020,2.528,0.509,7.930,84.820,
PINTs_engl310_01_236_v1,uh,2.528,2.773,0.244,7.930,82.882,
PINTs_engl310_01_236_v1,np,2.773,3.479,0.706,7.930,81.652,
PINTs_engl310_01_236_v1,sil,3.479,3.546,0.067,7.930,47.381,
PINTs_engl310_01_236_v1,uh,3.546,3.897,0.350,7.930,83.519,
PINTs_engl310_01_236_v1,sil,3.897,4.211,0.314,7.930,41.020,
PINTs_engl310_01_236_v1,np,4.211,5.518,1.307,7.930,82.657,
PINTs_engl310_01_236_v1,sil,5.518,5.574,0.056,7.930,40.409,
PINTs_engl310_01_236_v1,uh,5.574,5.724,0.150,7.930,77.058,
PINTs_engl310_01_236_v1,np,5.724,7.425,1.701,7.930,81.382,
PINTs_engl310_01_236_v1,sil,7.425,7.556,0.131,7.930,31.881,
PINTs_engl310_01_236_v1,in,7.556,7.898,0.343,7.930,53.183,
PINTs_engl310_01_236_v1,np,7.898,7.930,0.031,7.930,51.014,
PINTs_engl310_01_248_v1,np,0,0.028,0.028,9.613,35.683,
PINTs_engl310_01_248_v1,in,0.028,0.945,0.917,9.613,44.967,
PINTs_engl310_01_248_v1,uh,0.945,1.335,0.390,9.613,81.263,
PINTs_engl310_01_248_v1,np,1.335,2.260,0.925,9.613,81.797,
PINTs_engl310_01_248_v1,sil,2.260,2.336,0.076,9.613,37.885,
PINTs_engl310_01_248_v1,np,2.336,3.712,1.376,9.613,80.259,
PINTs_engl310_01_248_v1,sil,3.712,4.094,0.382,9.613,30.735,
PINTs_engl310_01_248_v1,in,4.094,4.629,0.535,9.613,50.268,
PINTs_engl310_01_248_v1,uh,4.629,4.782,0.153,9.613,78.757,
PINTs_engl310_01_248_v1,np,4.782,6.815,2.032,9.613,82.390,
PINTs_engl310_01_248_v1,in,6.815,7.048,0.233,9.613,43.529,
PINTs_engl310_01_248_v1,np,7.048,7.938,0.890,9.613,80.890,
PINTs_engl310_01_248_v1,uh,7.938,8.271,0.332,9.613,80.076,
PINTs_engl310_01_248_v1,np,8.271,9.375,1.104,9.613,80.391,
PINTs_engl310_01_248_v1,in,9.375,9.578,0.203,9.613,55.495,
PINTs_engl310_01_248_v1,np,9.578,9.613,0.035,9.613,46.379,
PINTs_engl310_13_87_v2,np,0,0.030,0.030,3.831,33.446,
PINTs_engl310_13_87_v2,in,0.030,0.303,0.273,3.831,46.305,
PINTs_engl310_13_87_v2,um,0.303,0.792,0.490,3.831,78.258,
PINTs_engl310_13_87_v2,sil,0.792,0.965,0.173,3.831,32.299,
PINTs_engl310_13_87_v2,np,0.965,1.424,0.459,3.831,75.865,
PINTs_engl310_13_87_v2,sil,1.424,1.474,0.050,3.831,33.328,
PINTs_engl310_13_87_v2,np,1.474,2.171,0.696,3.831,77.594,
PINTs_engl310_13_87_v2,sil,2.171,2.439,0.268,3.831,30.283,
PINTs_engl310_13_87_v2,np,2.439,3.175,0.736,3.831,79.281,
PINTs_engl310_13_87_v2,uh,3.175,3.420,0.245,3.831,78.923,
PINTs_engl310_13_87_v2,in,3.420,3.799,0.378,3.831,45.042,
PINTs_engl310_13_87_v2,np,3.799,3.831,0.033,3.831,29.157,
PINTs_engl310_24_10_v2,np,0,0.027,0.027,7.837,48.143,
PINTs_engl310_24_10_v2,in,0.027,0.340,0.313,7.837,47.470,
PINTs_engl310_24_10_v2,uh,0.340,1.542,1.202,7.837,74.359,
PINTs_engl310_24_10_v2,np,1.542,1.935,0.393,7.837,76.851,
PINTs_engl310_24_10_v2,uh,1.935,2.140,0.205,7.837,80.958,
PINTs_engl310_24_10_v2,np,2.140,2.223,0.082,7.837,49.668,
PINTs_engl310_24_10_v2,uh,2.223,2.362,0.139,7.837,78.820,
PINTs_engl310_24_10_v2,np,2.362,5.108,2.746,7.837,78.382,
PINTs_engl310_24_10_v2,uh,5.108,5.291,0.184,7.837,74.648,
PINTs_engl310_24_10_v2,np,5.291,6.915,1.623,7.837,73.110,
PINTs_engl310_24_10_v2,sil,6.915,7.447,0.533,7.837,25.854,
PINTs_engl310_24_10_v2,in,7.447,7.805,0.358,7.837,41.365,
PINTs_engl310_24_10_v2,np,7.805,7.837,0.031,7.837,28.980,
noPINTs_engl310_01_234_v2,in,0,0.334,0.334,11.610,31.432,
noPINTs_engl310_01_234_v2,sil,0.334,0.438,0.103,11.610,25.918,
noPINTs_engl310_01_234_v2,np,0.438,1.019,0.582,11.610,80.263,
noPINTs_engl310_01_234_v2,sil,1.019,1.386,0.366,11.610,25.802,
noPINTs_engl310_01_234_v2,np,1.386,4.869,3.484,11.610,78.227,
noPINTs_engl310_01_234_v2,in,4.869,5.147,0.278,11.610,48.422,
noPINTs_engl310_01_234_v2,uh,5.147,5.554,0.407,11.610,78.205,
noPINTs_engl310_01_234_v2,np,5.554,9.155,3.601,11.610,76.884,
noPINTs_engl310_01_234_v2,in,9.155,9.517,0.362,11.610,42.181,
noPINTs_engl310_01_234_v2,sil,9.517,9.610,0.093,11.610,31.990,
noPINTs_engl310_01_234_v2,np,9.610,11.534,1.924,11.610,75.492,
noPINTs_engl310_01_234_v2,in,11.534,11.610,0.076,11.610,47.616,
noPINTs_engl310_01_236_v1,np,0,0.029,0.029,6.177,43.337,
noPINTs_engl310_01_236_v1,in,0.029,0.276,0.247,6.177,53.127,
noPINTs_engl310_01_236_v1,uh,0.276,0.565,0.289,6.177,82.208,
noPINTs_engl310_01_236_v1,np,0.565,2.930,2.365,6.177,83.692,
noPINTs_engl310_01_236_v1,sil,2.930,2.988,0.058,6.177,40.778,
noPINTs_engl310_01_236_v1,np,2.988,3.740,0.752,6.177,83.692,
noPINTs_engl310_01_236_v1,sil,3.740,3.949,0.209,6.177,28.958,
noPINTs_engl310_01_236_v1,np,3.949,5.955,2.006,6.177,79.297,
noPINTs_engl310_01_236_v1,in,5.955,6.147,0.192,6.177,46.300,
noPINTs_engl310_01_236_v1,np,6.147,6.177,0.029,6.177,40.024,
noPINTs_engl310_01_248_v1,np,0,0.029,0.029,8.626,35.381,
noPINTs_engl310_01_248_v1,in,0.029,0.305,0.276,8.626,39.511,
noPINTs_engl310_01_248_v1,sil,0.305,0.387,0.083,8.626,24.006,
noPINTs_engl310_01_248_v1,np,0.387,1.311,0.924,8.626,77.817,
noPINTs_engl310_01_248_v1,sil,1.311,1.932,0.621,8.626,33.937,
noPINTs_engl310_01_248_v1,np,1.932,3.260,1.328,8.626,72.770,
noPINTs_engl310_01_248_v1,sil,3.260,3.441,0.180,8.626,25.826,
noPINTs_engl310_01_248_v1,np,3.441,7.090,3.650,8.626,73.327,
noPINTs_engl310_01_248_v1,sil,7.090,7.136,0.046,8.626,24.448,
noPINTs_engl310_01_248_v1,in,7.136,7.434,0.298,8.626,39.265,
noPINTs_engl310_01_248_v1,uh,7.434,7.830,0.397,8.626,75.031,
noPINTs_engl310_01_248_v1,np,7.830,8.308,0.478,8.626,74.964,
noPINTs_engl310_01_248_v1,in,8.308,8.593,0.285,8.626,43.795,
noPINTs_engl310_01_248_v1,np,8.593,8.626,0.033,8.626,41.144,
noPINTs_engl310_13_87_v2,np,0,0.029,0.029,3.413,32.630,
noPINTs_engl310_13_87_v2,in,0.029,0.394,0.366,3.413,46.993,
noPINTs_engl310_13_87_v2,um,0.394,0.919,0.525,3.413,78.019,
noPINTs_engl310_13_87_v2,ex,0.919,1.087,0.167,3.413,49.670,
noPINTs_engl310_13_87_v2,np,1.087,3.079,1.993,3.413,76.507,
noPINTs_engl310_13_87_v2,in,3.079,3.381,0.301,3.413,41.997,
noPINTs_engl310_13_87_v2,np,3.381,3.413,0.033,3.413,30.220,
noPINTs_engl310_24_10_v1,np,0,0.028,0.028,6.281,39.745,
noPINTs_engl310_24_10_v1,in,0.028,0.334,0.306,6.281,44.693,
noPINTs_engl310_24_10_v1,uh,0.334,0.861,0.526,6.281,77.198,
noPINTs_engl310_24_10_v1,np,0.861,1.918,1.057,6.281,77.609,
noPINTs_engl310_24_10_v1,sil,1.918,2.136,0.218,6.281,25.264,
noPINTs_engl310_24_10_v1,np,2.136,5.913,3.778,6.281,75.367,
noPINTs_engl310_24_10_v1,in,5.913,6.249,0.336,6.281,29.685,
noPINTs_engl310_24_10_v1,np,6.249,6.281,0.032,6.281,14.115,
