"file","segment","start","end","dur","filedur","mean_intensity","condition","proto_file"
"NAT_engl310_13_87","in",3.309,3.941,0.632,4.94,65.052,"natural","engl310_13_87"
"NAT_engl310_13_87","sil",3.941,3.994,0.053,4.94,50.806,"natural","engl310_13_87"
"NAT_engl310_13_87","uh",3.994,4.322,0.328,4.94,82.08,"natural","engl310_13_87"
"NAT_engl310_13_87","ex",4.322,4.525,0.203,4.94,66.532,"natural","engl310_13_87"
"NAT_engl310_13_87","in",4.525,4.936,0.411,4.94,52.52,"natural","engl310_13_87"
"NAT_engl310_13_87","sil",4.936,4.94,0.004,4.94,37.336,"natural","engl310_13_87"
"NAT_engl310_24_10","uh",0,0.003,0.003,7.41,55.873,"natural","engl310_24_10"
"NAT_engl310_24_10","in",0.003,0.502,0.499,7.41,45.08,"natural","engl310_24_10"
"NAT_engl310_24_10","o",0.502,0.527,0.025,7.41,56.44,"natural","engl310_24_10"
"NAT_engl310_24_10","sil",0.527,0.632,0.104,7.41,38.242,"natural","engl310_24_10"
"NAT_engl310_24_10","uh",1.132,1.493,0.362,7.41,73.624,"natural","engl310_24_10"
"NAT_engl310_24_10","sil",1.493,1.587,0.094,7.41,46.238,"natural","engl310_24_10"
"NAT_engl310_24_10","sil",2.176,3.055,0.879,7.41,37.211,"natural","engl310_24_10"
"NAT_engl310_24_10","sil",3.423,3.468,0.045,7.41,46.981,"natural","engl310_24_10"
"NAT_engl310_24_10","sil",4.664,4.84,0.176,7.41,42.947,"natural","engl310_24_10"
"NAT_engl310_24_10","in",4.84,5.155,0.315,7.41,45.421,"natural","engl310_24_10"
"NAT_engl310_24_10","sil",5.155,5.224,0.069,7.41,39.366,"natural","engl310_24_10"
"NAT_engl310_24_10","uh",5.224,5.427,0.203,7.41,71.372,"natural","engl310_24_10"
"NAT_engl310_24_10","sil",6.489,6.61,0.121,7.41,40.438,"natural","engl310_24_10"
"NAT_engl310_24_10","o",6.61,6.907,0.297,7.41,68.891,"natural","engl310_24_10"
"NAT_engl310_24_10","sil",6.907,7.09,0.183,7.41,42.893,"natural","engl310_24_10"
"NAT_engl310_24_10","in",7.09,7.406,0.317,7.41,47.754,"natural","engl310_24_10"
"NAT_engl310_24_10","sil",7.406,7.41,0.004,7.41,39.476,"natural","engl310_24_10"
"PINTs_engl310_01_234","in",0,0.227,0.227,11.61,39.911,"PINTs","engl310_01_234"
"PINTs_engl310_01_234","uh",0.812,1.125,0.314,11.61,77.896,"PINTs","engl310_01_234"
"PINTs_engl310_01_234","uh",1.125,1.495,0.37,11.61,80.94,"PINTs","engl310_01_234"
"PINTs_engl310_01_234","in",4.852,5.076,0.224,11.61,47.777,"PINTs","engl310_01_234"
"PINTs_engl310_01_234","uh",5.076,5.437,0.361,11.61,81.763,"PINTs","engl310_01_234"
"PINTs_engl310_01_234","ex",7.32,7.511,0.191,11.61,39.675,"PINTs","engl310_01_234"
"PINTs_engl310_01_234","sil",7.511,7.633,0.122,11.61,31.906,"PINTs","engl310_01_234"
"PINTs_engl310_01_234","in",7.633,8.015,0.382,11.61,54.374,"PINTs","engl310_01_234"
"PINTs_engl310_01_234","uh",8.015,8.239,0.224,11.61,81.218,"PINTs","engl310_01_234"
"PINTs_engl310_01_234","sil",10.238,10.339,0.1,11.61,34.738,"PINTs","engl310_01_234"
"PINTs_engl310_01_234","in",10.339,10.69,0.351,11.61,51.717,"PINTs","engl310_01_234"
"PINTs_engl310_01_234","uh",10.69,11.038,0.348,11.61,80.958,"PINTs","engl310_01_234"
"PINTs_engl310_01_236","in",0.027,0.272,0.244,7.93,51.735,"PINTs","engl310_01_236"
"PINTs_engl310_01_236","uh",0.272,0.682,0.41,7.93,81.623,"PINTs","engl310_01_236"
"PINTs_engl310_01_236","sil",0.682,0.832,0.15,7.93,39.628,"PINTs","engl310_01_236"
"PINTs_engl310_01_236","sil",1.9,2.02,0.119,7.93,34.073,"PINTs","engl310_01_236"
"PINTs_engl310_01_236","uh",2.528,2.773,0.244,7.93,82.882,"PINTs","engl310_01_236"
"PINTs_engl310_01_236","sil",3.479,3.546,0.067,7.93,47.381,"PINTs","engl310_01_236"
"PINTs_engl310_01_236","uh",3.546,3.897,0.35,7.93,83.519,"PINTs","engl310_01_236"
"PINTs_engl310_01_236","sil",3.897,4.211,0.314,7.93,41.02,"PINTs","engl310_01_236"
"PINTs_engl310_01_236","sil",5.518,5.574,0.056,7.93,40.409,"PINTs","engl310_01_236"
"PINTs_engl310_01_236","uh",5.574,5.724,0.15,7.93,77.058,"PINTs","engl310_01_236"
"PINTs_engl310_01_236","sil",7.425,7.556,0.131,7.93,31.881,"PINTs","engl310_01_236"
"PINTs_engl310_01_236","in",7.556,7.898,0.343,7.93,53.183,"PINTs","engl310_01_236"
"PINTs_engl310_01_248","in",0.028,0.945,0.917,9.613,44.967,"PINTs","engl310_01_248"
"PINTs_engl310_01_248","uh",0.945,1.335,0.39,9.613,81.263,"PINTs","engl310_01_248"
"PINTs_engl310_01_248","sil",2.26,2.336,0.076,9.613,37.885,"PINTs","engl310_01_248"
"PINTs_engl310_01_248","sil",3.712,4.094,0.382,9.613,30.735,"PINTs","engl310_01_248"
"PINTs_engl310_01_248","in",4.094,4.629,0.535,9.613,50.268,"PINTs","engl310_01_248"
"PINTs_engl310_01_248","uh",4.629,4.782,0.153,9.613,78.757,"PINTs","engl310_01_248"
"PINTs_engl310_01_248","in",6.815,7.048,0.233,9.613,43.529,"PINTs","engl310_01_248"
"PINTs_engl310_01_248","uh",7.938,8.271,0.332,9.613,80.076,"PINTs","engl310_01_248"
"PINTs_engl310_01_248","in",9.375,9.578,0.203,9.613,55.495,"PINTs","engl310_01_248"
"PINTs_engl310_13_87","in",0.03,0.303,0.273,3.831,46.305,"PINTs","engl310_13_87"
"PINTs_engl310_13_87","um",0.303,0.792,0.49,3.831,78.258,"PINTs","engl310_13_87"
"PINTs_engl310_13_87","sil",0.792,0.965,0.173,3.831,32.299,"PINTs","engl310_13_87"
"PINTs_engl310_13_87","sil",1.424,1.474,0.05,3.831,33.328,"PINTs","engl310_13_87"
